transaction_id,account_id,amount,merchant_category,hour_of_day,is_fraud
6ea7eaaa,ACC-1017,3183.91,Crypto,3,1
6ec5c5ea,ACC-1011,3538.12,Crypto,4,1
e03888bd,ACC-1069,1648.03,Crypto,2,1
642dd961,ACC-1020,2381.25,Luxury_Retail,3,1
3256f41a,ACC-1097,3398.21,Luxury_Retail,3,1
813aea60,ACC-1044,2078.57,Crypto,4,1
f36e7468,ACC-1048,3053.6,Crypto,4,1
6deac6e0,ACC-1090,1137.62,Luxury_Retail,3,1
d8c555c1,ACC-1029,1103.88,Crypto,3,1
79c54bc8,ACC-1046,4012.67,Luxury_Retail,3,1
2d60cb10,ACC-1089,1443.69,Luxury_Retail,2,1
047622a6,ACC-1031,4268.79,Crypto,2,1
c1a375cc,ACC-1071,1446.42,Luxury_Retail,3,1
735d815e,ACC-1004,1651.6,Luxury_Retail,1,1
b8cfb45a,ACC-1072,3788.42,Luxury_Retail,3,1
a10c077d,ACC-1050,4048.74,Luxury_Retail,2,1
2b7c4d1b,ACC-1031,4079.09,Luxury_Retail,2,1
dac68b4c,ACC-1046,3569.21,Luxury_Retail,4,1
a5cc9c95,ACC-1006,1650.52,Crypto,4,1
2693f656,ACC-1076,3993.03,Crypto,2,1
be4ec009,ACC-1070,1081.88,Luxury_Retail,4,1
bbbf2efd,ACC-1068,3991.85,Crypto,1,1
6a3c7c12,ACC-1020,3590.7,Luxury_Retail,1,1
9a6907b8,ACC-1013,2506.09,Luxury_Retail,2,1
6995f2f1,ACC-1097,4027.39,Luxury_Retail,2,1
1854b5aa,ACC-1014,1439.65,Crypto,3,1
effecf7b,ACC-1072,4241.21,Luxury_Retail,2,1
96a86791,ACC-1068,4306.37,Crypto,4,1
b87a3937,ACC-1033,3645.3,Crypto,4,1
5f41c8dd,ACC-1093,2776.01,Luxury_Retail,2,1
3d8f4523,ACC-1047,3368.02,Luxury_Retail,4,1
1f420725,ACC-1008,2449.07,Luxury_Retail,1,1
1ba43991,ACC-1090,2084.01,Crypto,2,1
cda5f85c,ACC-1042,3153.53,Crypto,1,1
3c39f7e8,ACC-1027,1108.63,Crypto,3,1
b129b3f4,ACC-1052,2818.2,Luxury_Retail,2,1
f24d9bc4,ACC-1052,1545.0,Crypto,4,1
12e966ec,ACC-1093,2554.64,Crypto,1,1
67b49d1a,ACC-1068,2088.45,Crypto,2,1
3b89d9c5,ACC-1031,2487.44,Luxury_Retail,2,1
8f453eb7,ACC-1006,4041.87,Crypto,4,1
99d6bbcb,ACC-1052,3230.33,Crypto,1,1
6ef449e3,ACC-1048,2622.59,Crypto,4,1
84e83748,ACC-1054,857.87,Luxury_Retail,3,1
20cfb44b,ACC-1027,3392.56,Luxury_Retail,2,1
b082b1d6,ACC-1074,4385.79,Crypto,3,1
b6e95a2e,ACC-1023,2590.28,Crypto,1,1
f1d914f0,ACC-1072,1100.1,Crypto,2,1
5f4b8534,ACC-1074,1748.69,Crypto,1,1
fe3fcf5b,ACC-1091,2913.08,Luxury_Retail,3,1
89834ef8,ACC-1082,1996.77,Luxury_Retail,4,1
e2b9340a,ACC-1079,1944.99,Luxury_Retail,1,1
587433a3,ACC-1064,4494.36,Crypto,1,1
7cb44409,ACC-1036,1817.98,Luxury_Retail,1,1
20a857ca,ACC-1070,1425.78,Luxury_Retail,1,1
d35c24dd,ACC-1013,1942.73,Crypto,2,1
409aba08,ACC-1026,3559.82,Crypto,3,1
1abf9c4a,ACC-1032,3469.28,Crypto,3,1
c361d879,ACC-1035,4154.48,Crypto,1,1
efb16225,ACC-1020,1010.92,Luxury_Retail,2,1
a316c401,ACC-1088,3555.49,Luxury_Retail,1,1
7ad77fdd,ACC-1018,4149.34,Crypto,3,1
351239ef,ACC-1005,2418.72,Crypto,3,1
c94d7120,ACC-1045,4131.07,Crypto,2,1
f0b8ede7,ACC-1020,3697.42,Luxury_Retail,2,1
b1ab9db0,ACC-1094,4413.15,Crypto,4,1
d73f454d,ACC-1100,4224.38,Luxury_Retail,2,1
729bb15b,ACC-1025,3409.67,Luxury_Retail,1,1
61c412ff,ACC-1029,3830.54,Luxury_Retail,3,1
477ad0f8,ACC-1008,1663.67,Crypto,4,1
e0c3f23f,ACC-1051,4379.15,Luxury_Retail,3,1
696f7518,ACC-1033,3330.24,Luxury_Retail,1,1
a04d633e,ACC-1055,1501.77,Luxury_Retail,1,1
bb868a69,ACC-1014,2111.76,Luxury_Retail,4,1
c05e7d32,ACC-1055,2255.96,Crypto,3,1
e05f1275,ACC-1085,856.17,Crypto,3,1
